Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
USA,Concert,May 13,Jay Park,Upstream Music Festival,"Seattle, WA",Pioneer Square,UMF,Site
USA,Concert,Jul 11,G-Dragon,"Act III, M.O.T.T.E.","Seattle, WA",Key Arena,Ticketmaster,---
USA,Concert,Sep 17,Hyukoh,tour',"Seattle, WA",Columbia City Theater,Eventbrite,FB
USA,Concert,Nov 17,SF9,Be My Fantasy,"Seattle, WA",Showbox SoDo,---,FB
USA,Concert,Dec 03,Various,Illionaire Ambition Tour,"Seattle, WA",Neumos,TicketFly,FB
USA,Concert,Sept 29-30,Guckkasten,Live,"Temecula, CA",Pechanga Resort Casino & Spa,KoreanConcert,FB
USA,Concert,Tue,Apr 25,Exo,The EXO'rDIUM,"Newark, NJ",Prudential Center,Ticketmaster
USA,Concert,Fri,Apr 28,Exo,The EXO'rDIUM,"Inglewood,CA",The Forum,Ticketmaster
USA,Concert,Sep 17,K.A.R.D,Wild Kard Pt.2,"Washington, DC",Warner Theatre,LiveNation,Site
USA,Concert,Nov 09,BewhY,The Blind Star,"Washington, DC",The Howard Theatre,---,FB
USA,Concert,Fri,May 05,K.A.R.D,Wild Kard,"Chicago, IL",Copernicus Center,Ticketfly
USA,Concert,Sun,May 07,K.A.R.D,Wild Kard,"Houston, TX",Stereo Live Houston,Eventbrite
USA,Concert,Wed,May 10,K.A.R.D,Wild Kard,"Los Angeles, CA",The Theatre at Ace Hotel,AXS
